session_type,start_date_and_time,name,session_nickname,session_status,school_id,participant_count,students_count,legacy_skills_needed,legacy_skills_covered
"Historical, not yet updated",2019-03-02 6:00:00,HealthStart - KJones-Jamtgaard - Section - 00569,"HlSt 2019-02-28 Stowers visit (Center attended, Grandview cancelled)",Completed,,0,0,,
"Historical, not yet updated",2019-03-01 6:00:00,HealthStart - KJones-Jamtgaard - Section - 00569,"HlSt 2019-02-28 Stowers visit (Center attended, Grandview cancelled)",Completed,,0,0,,
"Historical, not yet updated",2019-02-28 6:00:00,HealthStart - KJones-Jamtgaard - Section - 00569,"HlSt 2019-02-28 Stowers visit (Center attended, Grandview cancelled)",Completed,,21,21,,PWY-Health Career Exploration
"Historical, not yet updated",2019-02-27 6:00:00,HealthStart - KJones-Jamtgaard - Section - 00569,"HlSt 2019-02-28 Stowers visit (Center attended, Grandview cancelled)",Completed,,0,0,,
"Historical, not yet updated",2019-02-26 6:00:00,HealthStart - KJones-Jamtgaard - Section - 00569,"HlSt 2019-02-28 Stowers visit (Center attended, Grandview cancelled)",Completed,,0,0,,
"Historical, not yet updated",2019-02-25 6:00:00,HealthStart - KJones-Jamtgaard - Section - 00569,"HlSt 2019-02-28 Stowers visit (Center attended, Grandview cancelled)",Completed,,0,0,,
"Historical, not yet updated",2019-02-24 6:00:00,HealthStart - KJones-Jamtgaard - Section - 00569,"HlSt 2019-02-28 Stowers visit (Center attended, Grandview cancelled)",Completed,,0,0,,
"Historical, not yet updated",2020-07-04 6:00:00,Hope Scholar - BMcCarthy - Section - 03292,2020 Black Achievers Society Engineering Scholarship,Completed,,2,2,,
"Historical, not yet updated",2020-07-04 6:00:00,Kansas City Scholar - BMcCarthy - Section - 03251,Scholarship - KC Scholar 2020,Completed,,113,113,,
"Historical, not yet updated",2020-07-04 6:00:00,TechStart - BMcCarthy - Section - 03287,Virtual TechImpact Summer Camp,Completed,,21,21,,PWY-Tech/IT Career Exploration
Internship,2020-07-04 6:00:00,Internships - BMcCarthy - Section - 03270,Intn 2020-07-04 Virtual Student Law Academy 2020 Internship,Completed,,99,11,,"PWY-Police/Fire Career Exploration, PWY-Business Career Exploration, PWY-Human Service Career Exploration, PWY-Law Career Exploration, Skills-Resume Building"
"Historical, not yet updated",2020-07-04 6:00:00,HealthStart - KJones-Jamtgaard - Section - 03280,Virtual Healthstart Summer Camp,Completed,,46,16,,PWY-Health Career Exploration
"Historical, not yet updated",2020-07-04 6:00:00,Bioscience Academy Experience - KJones-Jamtgaard - Section - 03278,Virtual BioScience Summer Camp,Completed,,20,8,,"CCE-Career Research, CCE-College Research, CSCs-Public Speaking and Presenting, Skills-Pathway Specific Skills, Skills-Research Skills"
Campus Visit,2020-04-14 6:00:00,Campus Visit - MHinkle - Section - 03088,2020-03-02 CV MCC Vet Tech Visit,Completed,,3,1,,
