School,District,Level
CENTER HIGH SCHOOL,CENTER 58 SCHOOL DISTRICT,High
CENTER ALTERNATIVE,CENTER SCHOOL DISTRICT,High
GRANDVIEW MIDDLE,GRANDVIEW C-4,Middle
GRANDVIEW SR. HIGH,GRANDVIEW C-4,High
COMPASS ELEMENTARY,HICKMAN MILLS C-1,Elem
DOBBS ELEM.,HICKMAN MILLS C-1,Elem
EARLY CHILDHOOD CTR.,HICKMAN MILLS C-1,Elem
ERVIN ELEMENTARY,HICKMAN MILLS C-1,Elem
INGELS ELEM.,HICKMAN MILLS C-1,Elem
MILLENNIUM AT SANTA FE,HICKMAN MILLS C-1,Elem
RUSKIN HIGH SCHOOL,HICKMAN MILLS C-1,High
SMITH-HALE MIDDLE,HICKMAN MILLS C-1,Middle
TRUMAN ELEM.,HICKMAN MILLS C-1,Elem
WARFORD ELEM.,HICKMAN MILLS C-1,Elem
EAST HIGH SCHOOL,KANSAS CITY PUBLIC SCHOOL DISTRICT,High
LINCOLN COLLEGE PREP.,KANSAS CITY PUBLIC SCHOOL DISTRICT,High
MANUAL CAREER & TECH. CTR.,KANSAS CITY PUBLIC SCHOOL DISTRICT,High
ARGENTINE MIDDLE,KANSAS CITY USD 500,Middle
ARROWHEAD MIDDLE,KANSAS CITY USD 500,Middle
BANNEKER ELEM,KANSAS CITY USD 500,Elem
BERTRAM CARUTHERS ELEM,KANSAS CITY USD 500,Elem
CARL B. BRUCE MIDDLE SCHOOL,KANSAS CITY USD 500,Middle
CENTRAL MIDDLE,KANSAS CITY USD 500,Middle
CLAUDE A HUYCK ELEM,KANSAS CITY USD 500,Elem
D D EISENHOWER MIDDLE,KANSAS CITY USD 500,Middle
EMERSON ELEM,KANSAS CITY USD 500,Elem
EUGENE WARE ELEM,KANSAS CITY USD 500,Elem
F L SCHLAGLE HIGH,KANSAS CITY USD 500,High
FRANCES WILLARD ELEM,KANSAS CITY USD 500,Elem
FRANK RUSHTON ELEM,KANSAS CITY USD 500,Elem
GLORIA WILLIS MIDDLE SCHOOL,KANSAS CITY USD 500,Middle
GRANT ELEM,KANSAS CITY USD 500,Elem
HAZEL GROVE ELEM,KANSAS CITY USD 500,Elem
J C HARMON HIGH,KANSAS CITY USD 500,High
JOHN F KENNEDY ELEM,KANSAS CITY USD 500,Elem
JOHN FISKE ELEM,KANSAS CITY USD 500,Elem
LINDBERGH ELEM,KANSAS CITY USD 500,Elem
LOWELL BRUNE ELEMENTARY SCHOOL,KANSAS CITY USD 500,Elem
M E PEARSON ELEM,KANSAS CITY USD 500,Elem
MARK TWAIN ELEM,KANSAS CITY USD 500,Elem
MCKINLEY ELEMENTARY SCHOOL,KANSAS CITY USD 500,Elem
NEW CHELSEA ELEMENTARY,KANSAS CITY USD 500,Elem
NEW STANLEY ELEM,KANSAS CITY USD 500,Elem
QUINDARO ELEM,KANSAS CITY USD 500,Elem
ROSEDALE MIDDLE,KANSAS CITY USD 500,Middle
SILVER CITY ELEM,KANSAS CITY USD 500,Elem
STONY POINT NORTH,KANSAS CITY USD 500,Elem
SUMNER ACADEMY OF ARTS & SCIENCE,KANSAS CITY USD 500,High
THOMAS A EDISON ELEM,KANSAS CITY USD 500,Elem
WASHINGTON HIGH,KANSAS CITY USD 500,High
WEST PARK ELEMENTARY SCHOOL,KANSAS CITY USD 500,Elem
WHITTIER ELEM,KANSAS CITY USD 500,Elem
WYANDOTTE HIGH,KANSAS CITY USD 500,High
